Last Names,Female First Names,Male First Names,Suffixes,Prefixes
Wolfsohn,Theri,Bjorn,the Shackled,Master
Gerster,Brinfre,Thomas,the Lonely,Protector
Korsch,Subu,Till,the Ambitious,Tribune
Beer,Kuli,Silvester,the Small,Saint
Heidler,Suve,Lucas,the Giant,Assistant
Strier,Brithan,George,the Weak,Earl
Teyber,Reidda,Axel,the Meek,Prime
Traub,Yeva,Tillmann,the Righteous,Chaplain
Dorn,Alina,Alexander,the Young,Templar
Wernz,Sonya,Ludwig,the Fat,Professor
Hersh,Slavena,Ustin,the Cold,Assistant
Wexner,Lera,Maxim,the Bloody,Librarian
Scheck,Evelina,Stefan,the Ill,Sir
Hopfer,Frosya,Bogdan,the Coward,Lord
Hoger,Alisa,Luka,the Silent,Imperator
Hagel,Raya,Otbert,of Oakburn,Governor
Scheck,Marta,Vigor,of Karmswald,Prince
Drossel,Emma,Thegan,of The Reich,Corporal
Voigt,Zoya,Garivald,of Faykeep,General
Horstmann,Emilia,Fulrad,of Westerheim,Commander
Martin,Sophie,Razo,of the Barrows,Exarch
Apel,Mara,Wulfram,of Allenfel,
Ober,Irene,Leuthard,of the Chase,
Schultz,Jessica,Turpin,of Ernst,
Heller,Judith,Otto,of the Hills,
Heim,Monika,Fulk,of Bellagin,
Dahmen,Sigrid,Hubert,of Oftburg,
Rosin,Ingrid,Clovis,of Thurderry,
Wahl,Veronika,Odo,of the Ward,
Mayr,Inga,Anno,the Civilized,
Steinberg,Cathrin,Karlmann,of Hooftheim,
Denker,Natalie,Anskar,the Plauged,
Haass,Magda,Folmar,the Cleaver,
Elser,Verona,Tihomir,the Fleshling,
Blatt,Dorothea,Vlad,the Mongrel,
Dullum,Nicola,Wella,the Wyrm,
Norberg,Wibke,Gunteric,of the Crow,
Baardsen,Ella,Colias,the Tongue Splitter,
Vee,Hilde,Rikiar,the Charming,
Salmonsen,Valerie,Galindus,the Acolyte,
Ohlsen,Katja,Mundo,the Betrothed,
Opsal,Auguste,Alaric,the Liar,
Danielsen,Erica,Aligern,the Keeper,
Lovland,Sonja,Rodolf,of the Void,
Jorstad,Raya,Eberwolf,the Old,
Ulberg,Elya,Salla,the Blind,
Lybeck,Anya,Borani,the Gored,
Underberg,Sophya,Bilimer,Toad-Bane,
Asplund,Verok,Duda,Toad-Bane,
Nystrom,Alina,Agila,the Forgivable,
Backer,Tetyana,Totila,the Splintered,
Sabo,Masha,Odoin,the Keeper of Lies,
Selvig,Sveta,Huml,the Drowning God,
Overbey,Ulya,Ibba,the Swine,
Bentzen,Nika,Ovida,of the Wilds,
Hamar,Roza,Saphrax,Thrice-Burried,
Jorde,Narin,Dins,the Breath of the Gods,
Arvesen,Aleyda,Salvis,the Cherished,
Helland,Mira,Albins,the Vulgar,
Haarstad,Lucienne,Egils,the Invincible,
Bjorgen,Monia,Nocler,the Blasphemer,
Ulven,Alwina,Zuba,the Unbroken,
Bjelland,Anouk,Fograal,the Unshackeled,
Solem,Gelvira,Odlec,the Mad,
Sund,Oonagh,Sokolt,the Seer,
,Liuva,Kralca,Black-Lungs,
,Gaatha,Stutra,the Long Traveled,
,Teja,Muallor,the Weary,
,Impi,Dizoc,of the Fourth Blight,
,Kiira,Koveen,of the Final Hour,
,Sylvia,Liazu,of the First Hour,
,Paivi,Enad,the First Born,
,Salla,Suneld,the Last Born,
,Noora,Derkay,the Elder,
,Olivia,Asrall,the Senseless,
,Mari,Kraice,the Reader,
,Elsi,Dobroka,the Dark,
,Iina,Stilmul,the Enlightened,
,Emmi,Enza,the Dull,
,Heidi,Logac,follower of Kor,
,Aini,Okeak,of the Tweleve,
,Sointu,Aryer,the First,
,Pihla,Hendla,the Second,
,Gwen,Drurna,the Third,
,Karen,Thaiva,the Fourth,
,Bianca,Marua,the Fifth,
,Jan,Kriskar,the Sixth,
,Nina,Bultalt,the Godless,
,Yaelle,Chatar,the Hefty,
,Eved,Drimi,the Contagious,
,Esa,Geiblor,the Inverted,
,Siw,Cothmand,the Vessel,
,Elsy,Dulwal,the Pastel,
,Litha,Strizast,Pact-Bound,
,Hagny,Ebe,of Woe,
,Penny,Tholuk,the Herald,
,Ammy,Tilcas,the Cursed,
,Oddny,Undlo,the Crimson,
,Svanfrid,Nultad,the White,
,Ragnvor,Bruson,the Black,
,Vigdis,Gritri,,
,,Ben,,
,,Paul,,
,,Jonas,,
,,Elias,,
,,Leon,,
,,Finn,,
,,Noah,,
,,Luis,,
,,Lukas,,
,,Luca,,
,,Maximilian,,
,,Henry,,
,,Max,,
,,Oskar,,
,,Emil,,
,,Liam,,
,,Jakob,,
,,Moritz,,
,,Anton,,
,,Julian,,
,,Theo,,
,,Niklas,,
,,David,,
,,Philipp,,
,,Alexander,,
,,Tim,,
,,Matteo,,
,,Milan,,
,,Leo,,
,,Tom,,
,,Mats,,
,,Carl,,
,,Erik,,
,,Linus,,
,,Jonathan,,
,,Jan,,
,,Fabian,,
,,Leonard,,
,,Samuel,,
,,Rafael,,
,,Jona,,
,,Jannik,,
,,Simon,,
,,Vincent,,
,,Mika,,
,,Hannes,,
,,Lennard,,
,,Till,,
,,Aaron,,
,,Karl,,
,,Wilhelm,,
,,Heinrich,,
,,Hans,,
,,Otto,,
,,Hermann,,
,,Walter,,
,,Friedrich,,
,,Ernst,,
,,Willi,,
,,Fritz,,
,,Franz,,
,,Gustav,,
,,August,,
,,Johannes,,
,,Johann,,
,,Rudolf,,
,,Alfred,,
,,Georg,,
,,Albert,,
,,Richard,,
,,Erich,,
,,Artur,,
,,Kurt,,
,,Robert,,
,,Josef,,
,,Hugo,,
,,Ludwig,,
,,Bruno,,
,,Bernhard,,
,,Herbert,,
,,Theodor,,
,,Martin,,
,,Peter,,
,,Eduard,,
,,Henri,,
,,Werner,,
,,John,,
,,Julius,,
,,Kristian,,
,,HelmutHinrich,,
,,Reinhold,,
,,Erwin,,
,,Ferdinand,,
,,Konrad,,
,,Michael,,
,,Alwin,,
,,Harry,,
,,Jonny,,
,,Arnold,,
,,Ewald,,
,,Klaus,,
,,Alfons,,
,,Felix,,
,,Gerhard,,
,,Edmund,,
,,Stanislaus,,
,,Berthold,,
,,Ulrich,,
,,Waldemar,,
,,Aiden,,
,,Daniel,,
,,Sean,,
,,Conor,,
,,Dylan,,
,,Niall,,
,,Cian,,
,,Darragh,,
,,Oisin,,
,,Abel,,
,,Abraham,,
,,Abram,,
,,Absalon,,
,,Acasius,,
,,Achim,,
,,Adalbert,,
,,Adam,,
,,Adar,,
,,Addar,,
,,Addi,,
,,Adel,,
,,Adelstein,,
,,Adelsten,,
,,Adiel,,
,,Adler,,
,,Adolf,,
,,Adolph,,
,,Adonis,,
,,Ador,,
,,Adriaen,,
,,Adrian,,
,,Adriano,,
,,Adrianus,,
,,Adriel,,
,,Agathon,,
,,Agaton,,
,,Agdar,,
,,Agder,,
,,Agerton,,
,,Agmund,,
,,Agnar,,
,,Agne,,
,,Agner,,
,,Agneton,,
,,Agnor,,
,,Agrim,,
,,Agur,,
,,Agust,,
,,Agvald,,
,,Ahl,,
,,Ailo,,
,,Aimar,,
,,Aimo,,
,,Ain,,
,,Aivert,,
,,Akim,,
,,Akkim,,
,,Aksel,,
,,Aksnes,,
,,Akvilas,,
,,Al,,
,,Aladdin,,
,,Aladin,,
,,Alan,,
,,Aland,,
,,Alarik,,
,,Alban,,
,,Alberg,,
,,Alberto,,
,,Albertus,,
,,Albin,,
,,Albinus,,
,,Albrecht,,
,,Albrekt,,
,,Albret,,
,,Albreth,,
,,Albrigt,,
,,Albrikt,,
,,Aldor,,
,,Aldrik,,
,,Ale,,
,,Alec,,
,,Alek,,
,,Aleks,,
,,Aleksander,,
,,Aleksei,,
,,Aleksej,,
,,Aleksey,,
,,Alen,,
,,Alert,,
,,Ales,,
,,Alex,,
,,Alexei,,
,,Alexej,,
,,Alexey,,
,,Alexis,,
,,Alexius,,
,,Alf,,
,,Alfar,,
,,Alfie,,
,,Alfinn,,
,,Alfon,,
,,Alfred,,
,,Alfrid,,
,,Algot,,
,,Ali,,
,,Allan,,
,,Allen,,
,,Allert,,
,,Almar,,
,,Almer,,
,,Alois,,
,,Aloysius,,
,,Alphonse,,
,,Alrek,,
,,Alrik,,
,,Alsing,,
,,Alt,,
,,Alton,,
,,Alv,,
,,Alvald,,
,,Alvar,,
,,Alvard,,
,,Alvarin,,
,,Alvaro,,
,,Alve,,
,,Alver,,
,,Alvfinn,,
,,Alvgeir,,
,,Alvi,,
,,Alvin,,
,,Alvinius,,
,,Alvir,,
,,Alvis,,
,,Amadeus,,
,,Amaldus,,
,,Amalek,,
,,Amalik,,
,,Amandius,,
,,Amandus,,
,,Amanuel,,
,,Ambjørn,,
,,Ambros,,
,,Ambrosius,,
,,Amfinn,,
,,Amin,,
,,Amir,,
,,Amor,,
,,Amos,,
,,Amund,,
,,Analius,,
,,Ananias,,
,,Anathon,,
,,Anaton,,
,,Anbjørn,,
,,Ancher,,
,,Andar,,
,,Ande,,
,,Anders,,
,,Andi,,
,,Ando,,
,,Andolf,,
,,Andor,,
,,Andorf,,
,,Andras,,
,,Andre,,
,,André,,
,,Andreas,,
,,Andrei,,
,,Andrej,,
,,Andres,,
,,Andrew,,
,,Andrey,,
,,Andri,,
,,Andrias,,
,,Andries,,
,,Andrin,,
,,Andris,,
,,Andro,,
,,Androder,,
,,Androe,,
,,Andrus,,
,,Andrzej,,
,,Andy,,
,,Anfeldt,,
,,Anfelt,,
,,Anfin,,
,,Anfind,,
,,Anfinn,,
,,Anfred,,
,,Angel,,
,,Angell,,
,,Angelo,,
,,Angrim,,
,,Ani,,
,,Anje,,
,,Anker,,
,,Ankjell,,
,,Annanias,,
,,Annar,,
,,Annas,,
,,Annathon,,
,,Annaton,,
,,Baard,,
,,Bagge,,
,,Balder,,
,,Baldor,,
,,Baldrek,,
,,Baldur,,
,,Baldvin,,
,,Balo,,
,,Baltasar,,
,,Baltser,,
,,Baltzer,,
,,Barak,,
,,Bardo,,
,,Bardon,,
,,Barius,,
,,Barnabas,,
,,Baro,,
,,Barrie,,
,,Barry,,
,,Barthol,,
,,Barthold,,
,,Bartol,,
,,Bartolv,,
,,Baruk,,
,,Basse,,
,,Baste,,
,,Bastian,,
,,Bastinus,,
,,Beau,,
,,Bedin,,
,,Beint,,
,,Belest,,
,,Bellest,,
,,Belmar,,
,,Bendigt,,
,,Bendik,,
,,Bendiks,,
,,Bendikt,,
,,Bendix,,
,,Bendt,,
,,Benedict,,
,,Benedikt,,
,,Bengeir,,
,,Bengt,,
,,Benito,,
,,Benjamin,,
,,Benn,,
,,Benno,,
,,Benny,,
,,Benoni,,
,,Bent,,
,,Bentein,,
,,Benth,,
,,Bentley,,
,,Benyamin,,
,,Berau,,
,,Beraug,,
,,Berdines,,
,,Berdinus,,
,,Berdon,,
,,Berdor,,
,,Berend,,
,,Berent,,
,,Berg,,
,,Berge,,
,,Berger,,
,,Bergethon,,
,,Bergeton,,
,,Bergfinn,,
,,Berginius,,
,,Bergithon,,
,,Bergiton,,
,,Bergljot,,
,,Bergsvein,,
,,Bergsvend,,
,,Bergtor,,
,,Bergulv,,
,,Berhard,,
,,Bermod,,
,,Bern,,
,,Bernard,,
,,Bernardus,,
,,Bernatt,,
,,Bernd,,
,,Berndt,,
,,Berner,,
,,Bernhardt,,
,,Bernhardus,,
,,Bernhof,,
,,Bernt,,
,,Bernth,,
,,Berntinus,,
,,Bersvein,,
,,Bersvend,,
,,Bert,,
,,Bertel,,
,,Bertenius,,
,,Berteus,,
,,Berthel,,
,,Bertheus,,
,,Berthin,,
,,Berthinus,,
,,Bertho,,
,,Bertil,,
,,Bertin,,
,,Bertinius,,
,,Bertinus,,
,,Berto,,
,,Berton,,
,,Bertor,,
,,Bertram,,
,,Bertrand,,
,,Berulf,,
,,Berulv,,
,,Besse,,
,,Bethuel,,
,,Betuel,,
,,Bill,,
,,Bille,,
,,Billy,,
,,Bilov,,
,,Birger,,
,,Birgiton,,
,,Birk,,
,,Birning,,
,,Bjarke,,
,,Bjarnard,,
,,Bjarne,,
,,Bjarnhard,,
,,Bjarni,,
,,Bjarnmod,,
,,Bjarnulv,,
,,Bjart,,
,,Bjarte,,
,,Bjartmar,,
,,Bjermod,,
,,Bjermund,,
,,Bjerner,,
,,Bjerte,,
,,Bjor,,
,,Bjug,,
,,Bjønnal,,
,,Bjønne,,
,,Bjørge,,
,,Bjørger,,
,,Bjørgulv,,
,,Bjørguv,,
,,Bjørgvin,,
,,Bjørn,,
,,Bjørnar,,
,,Bjørnard,,
,,Bjørne,,
,,Bjørner,,
,,Bjørnmund,,
,,Bjørnodd,,
,,Bjørnstein,,
,,Bjørnstjerne,,
,,Bjørnulv,,
,,Bjørnvald,,
,,Bjøro,,
,,Bjøru,,
,,Blaise,,
,,Blas,,
,,Blostrup,,
,,Bo,,
,,Boas,,
,,Bob,,
,,Bobby,,
,,Bodmod,,
,,Bodo,,
,,Bodvar,,
,,Boge,,
,,Boi,,
,,Boie,,
,,Boje,,
,,Bonde,,
,,Bonsak,,
,,Borgar,,
,,Borge,,
,,Borger,,
,,Borgfinn,,
,,Borgvald,,
,,Borild,,
,,Boris,,
,,Bortinus,,
,,Borys,,
,,Botel,,
,,Botolf,,
,,Botolv,,
,,Bottolf,,
,,Bottolv,,
,,Botvid,,
,,Boy,,
,,Boye,,
,,Brage,,
,,Brand,,
,,Brandalv,,
,,Taale,,
,,Taavi,,
,,Tage,,
,,Tai,,
,,Taj,,
,,Tallak,,
,,Talleiv,,
,,Tallev,,
,,Tancred,,
,,Tandrup,,
,,Tanke,,
,,Tankred,,
,,Tao,,
,,Tapani,,
,,Tarald,,
,,Tarbjørn,,
,,Tarhald,,
,,Tarik,,
,,Tarild,,
,,Tarje,,
,,Tarjei,,
,,Tarjer,,
,,Tarrald,,
,,Tarry,,
,,Tarvald,,
,,Ted,,
,,Teddy,,
,,Tedor,,
,,Teis,,
,,Tellef,,
,,Telleiv,,
,,Tellev,,
,,Telli,,
,,Telmar,,
,,Tengel,,
,,Tenny,,
,,Teo,,
,,Teobald,,
,,Teodor,,
,,Teofil,,
,,Teovald,,
,,Terence,,
,,Teresius,,
,,Terje,,
,,Terjei,,
,,Terjer,,
,,Terkel,,
,,Terkjel,,
,,Termund,,
,,Terry,,
,,Tevje,,
,,Thage,,
,,Thedor,,
,,Theis,,
,,Theodore,,
,,Theodorus,,
,,Thias,,
,,Thile,,
,,Thilo,,
,,Thim,,
,,Thin,,
,,Thobias,,
,,Tholf,,
,,Thom,,
,,Thomander,,
,,Thomas,,
,,Thommas,,
,,Thommy,,
,,Thomæs,,
,,Thor,,
,,Thoralf,,
,,Thorben,,
,,Thorbjørn,,
,,Thord,,
,,Thordur,,
,,Thore,,
,,Thorer,,
,,Thorfinn,,
,,Thorger,,
,,Thorgir,,
,,Thorgrim,,
,,Thorkel,,
,,Thorkil,,
,,Thorkild,,
,,Thorlacius,,
,,Thorleif,,
,,Thormod,,
,,Thorolf,,
,,Thorry,,
,,Thorstein,,
,,Thorsten,,
,,Thorvald,,
,,Thron,,
,,Thrond,,
,,Thure,,
,,Thyge,,
,,Thøger,,
,,Tias,,
,,Tibor,,
,,Tide,,
,,Tideke,,
,,Tidemann,,
,,Tilbert,,
,,Tile,,
,,Tilo,,
,,Timann,,
,,Timian,,
,,Timm,,
,,Timmi,,
,,Timmie,,
,,Timmy,,
,,Timo,,
,,Timofei,,
,,Timon,,
,,Timotei,,
,,Timoteus,,
,,Timotheus,,
,,Timothy,,
,,Tin,,
,,Tinius,,
,,Tino,,
,,Tinus,,
,,Tito,,
,,Titus,,
,,Tiøstov,,
,,Tjalve,,
,,Tjark,,
,,Tjerand,,
,,Tjerrand,,
,,Tjodar,,
,,Tjodbjørn,,
,,Tjodgeir,,
,,Tjodolf,,
,,Tjodolv,,
,,Tjodrek,,
,,Tjodvald,,
,,Tjodvard,,
,,Tjogjei,,
,,Tjojei,,
,,Tjostolv,,
,,Tjærand,,
,,Tjøl,,
,,Tjølv,,
,,Tjøstel,,
,,Tjøsten,,
,,Tjøstol,,
,,Tjøstolv,,
,,Tjøstov,,
,,Tobias,,
,,Toby,,
,,Todd,,
,,Toivo,,
,,Tolla,,
,,Tollach,,
,,Tollak,,
,,Tollef,,
,,Tolleif,,
,,Tolleiv,,
,,Tollek,,
,,Tollev,,
,,Tolli,,
,,Tolv,,
,,Toma,,
,,Tomander,,
,,Tomas,,
,,Tomes,,
,,Tomm,,
,,Tommas,,
,,Tommes,,
,,Tommi,,
,,Tommie,,
,,Tommy,,
,,Toni,,
,,Tonius,,
,,Tonni,,
,,Tonning,,
,,Tonny,,
,,Tony,,
,,Tor,,
,,Torald,,
,,Toralf,,
,,Toralv,,
,,Torar,,
,,Torarin,,
,,Torben,,
,,Torberg,,
,,Torbjørn,,
,,Torchel,,
,,Tord,,
,,Tordar,,
,,Tordur,,
,,Tore,,
,,Torenius,,
,,Torer,,
,,Toresius,,
