Occupation,Trained Weapon,Trade Goods
Alchemist,Staff,Oil(1flask)
Animal trainer,Club,Pony
Armorer,Hammer(as club),Iron helmet
Armorer,Hammer(as club),Iron helmet
Astrologer,Dagger,Spyglass
Blacksmith,Hammer(as club),Steel tongs
Blacksmith,Hammer(as club),Steel tongs
Blacksmith,Hammer(as club),Steel tongs
Caravan guard,Short sword,Linen(1 yd)
Caravan guard,Short sword,Linen(1 yd)
Cobbler,Awl(as dagger),Shoehorn
Confidence artist,Dagger,Quality cloak
Cooper,Crowbar(as club),Barrel
Cutpurse,Dagger,Quality cloak
Cutpurse,Dagger,Quality cloak
Ditch digger,Shovel(as staff),Fine dirt(1 lb)
Ditch digger,Shovel(as staff),Fine dirt(1 lb)
Dwarven blacksmith,Hammer(as club),Mithril(1 oz)
Dwarven blacksmith,Hammer(as club),Mithril(1 oz)
Dwarven blacksmith,Hammer(as club),Mithril(1 oz)
Dwarven blacksmith,Hammer(as club),Mithril(1 oz)
Dwarven herder,Staff,Sow
Dwarven herder,Staff,Sow
Dwarven miner,Pick(as club),Lantern
Dwarven miner,Pick(as club),Lantern
Dwarven miner,Pick(as club),Lantern
Dwarven miner,Pick(as club),Lantern
Elven artisan,Staff,Clay(1 lb)
Elven artisan,Staff,Clay(1 lb)
Elven artisan,Staff,Clay(1 lb)
Elven artisan,Staff,Clay(1 lb)
Elven forester,Staff,Herbs(1 lb)
Elven forester,Staff,Herbs(1 lb)
Elven forester,Staff,Herbs(1 lb)
Elven forester,Staff,Herbs(1 lb)
Elven sage,Dagger,Parchment and quill pen
Elven sage,Dagger,Parchment and quill pen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Farmer,Pitchfork(as spear),Hen
Fortune-teller,Dagger,Tarot deck
Gambler,Club,Dice
Gongfarmer,Trowel(as dagger),Sack of night soil
Grave digger,Shove(as staff),Trowel
Grave digger,Shove(as staff),Trowel
Guild beggar,Sling,Crutches
Guild beggar,Sling,Crutches
Halfling gypsy,Sling,Hex doll
Halfling gypsy,Sling,Hex doll
Halfling gypsy,Sling,Hex doll
Halfling gypsy,Sling,Hex doll
Halfling trader,Short sword,20sp
Halfling trader,Short sword,20sp
Halfling trader,Short sword,20sp
Halfling trader,Short sword,20sp
Halfling vagrant,Club,Begging bowl
Halfling vagrant,Club,Begging bowl
Healer,Club,Holy water(1 vial)
Herbalist,Club,Herbs(1 lb)
Herder,Staff,Herding dog
Herder,Staff,Herding dog
Herder,Staff,Herding dog
Hunter,Shortbow,Deer pelt
Hunter,Shortbow,Deer pelt
Hunter,Shortbow,Deer pelt
Indentured servant,Staff,Locket
Jester,Dart,Silk clothes
Jeweler,Dagger,Gem worth 20 gp
Locksmith,Dagger,Fine tools
Mercenary,Longsword,Hide armor
Miller/baker,Club,Flour(1 lb)
Minstrel,Dagger,Ukelele
Noble,Longsword,Gold ring worth 10 gp
Orphan,Club,Rag doll
Ostler,Staff,Bridle
Outlaw,Short sword,Leather armor
Scribe,Dart,Parchment(10 sheets)
Shaman,Mace,Herbs(1 lb)
Slave,Club,Strange-looking rock
Smuggler,Sling,Waterproof sack
Soldier,Spear,Shield
Soldier,Spear,Shield
Squire,Longsword,Steel helmet
Squire,Longsword,Steel helmet
Trapper,Sling,Badger pelt
Trapper,Sling,Badger pelt
Urchin,Stick(as club),Begging bowl
Wainwright,Club,Pushcart
Weaver,Dagger,Fine suit of clothes
Wizard's apprentice,Dagger,Black grimoire
Woodcutter,Handaxe,Bundle of wood
Woodcutter,Handaxe,Bundle of wood
Woodcutter,Handaxe,Bundle of wood
